CVD_Lookback,ADX_Threshold,Stop_Loss,Take_Profit,RR_Ratio,EMA_Filter,SMA_Filter,Use_VWAP,Time_Window,Trailing_Stop,Total_Trades,Win_Rate,Profit_Factor,Total_PnL,Avg_Win,Avg_Loss,Sharpe_Ratio,Max_Drawdown,Max_Consec_Wins,Max_Consec_Losses,Long_Trades,Long_Win_Rate,Short_Trades,Short_Win_Rate,Total_Bars,Execution_Time_Ms
8,25,10,25,1:2.50,21,0,false,FullDay,false,87,32.18,1.17,4670,1175.18,-478.56,1.9,9.45,3,19,33,33.33,54,31.48,21390,4130
8,25,12,18,1:1.50,0,0,false,Morning,false,96,42.71,1.1,3247.5,840.49,-567.5,1.46,4.23,3,6,44,45.45,52,40.38,16610,4731
8,25,12,18,1:1.50,0,0,false,FullDay,false,97,39.18,0.93,-2480,843.22,-585.13,-0.92,5.75,3,7,41,41.46,56,37.5,21390,4313
8,25,12,18,1:1.50,21,0,false,Morning,false,96,42.71,1.1,3247.5,840.49,-567.5,1.46,4.23,3,6,44,45.45,52,40.38,16610,4020
8,25,12,18,1:1.50,21,0,false,FullDay,false,97,39.18,0.94,-2092.5,843.22,-578.56,-0.76,5.36,3,7,41,41.46,56,37.5,21390,9183
10,0,10,20,1:2.00,0,0,false,Morning,false,100,21,0.54,-17600,997.5,-487.94,-8.4,20.85,5,14,50,24,50,18,16610,5680
10,0,10,20,1:2.00,0,0,false,FullDay,false,121,25.62,0.68,-13940,967.66,-488.19,-5.65,18.13,5,18,55,21.82,66,28.79,21390,3356
10,0,10,20,1:2.00,21,0,false,Morning,false,99,21.21,0.55,-17097.5,997.5,-487.76,-8.18,20.35,5,14,50,24,49,18.37,16610,2848
10,0,10,20,1:2.00,21,0,false,FullDay,false,121,25.62,0.68,-13940,967.66,-488.19,-5.65,18.13,5,18,55,21.82,66,28.79,21390,3474
10,0,10,25,1:2.50,0,0,false,Morning,false,92,22.83,0.77,-8005,1248.1,-481.9,-3.32,14.51,4,14,43,25.58,49,20.41,16610,2694
10,0,10,25,1:2.50,0,0,false,FullDay,false,106,24.53,0.83,-6452.5,1211.92,-474.53,-2.45,15.36,4,20,53,18.87,53,30.19,21390,3127
10,0,10,25,1:2.50,21,0,false,Morning,false,91,23.08,0.78,-7502.5,1248.1,-481.61,-3.11,14.02,4,14,43,25.58,48,20.83,16610,2759
10,0,10,25,1:2.50,21,0,false,FullDay,false,106,24.53,0.83,-6452.5,1211.92,-474.53,-2.45,15.36,4,20,53,18.87,53,30.19,21390,3244
10,0,12,18,1:1.50,0,0,false,Morning,false,105,34.29,0.79,-8362.5,875.28,-577.86,-3.33,13.75,5,9,52,40.38,53,28.3,16610,2760
10,0,12,18,1:1.50,0,0,false,FullDay,false,104,33.65,0.79,-8522.5,898.57,-579.31,-3.4,16.63,5,16,52,30.77,52,36.54,21390,2990
10,0,12,18,1:1.50,21,0,false,Morning,false,104,34.62,0.8,-7760,875.28,-577.5,-3.09,13.16,5,9,52,40.38,52,28.85,16610,2838
10,0,12,18,1:1.50,21,0,false,FullDay,false,104,33.65,0.79,-8522.5,898.57,-579.31,-3.4,16.63,5,16,52,30.77,52,36.54,21390,3061
10,25,10,20,1:2.00,0,0,false,Morning,false,80,25,0.61,-11387.5,873.75,-481.04,-6.14,12.79,2,9,37,21.62,43,27.91,16610,3822
10,25,10,20,1:2.00,0,0,false,FullDay,false,85,28.24,0.73,-7800,895.42,-480.16,-3.78,9.72,2,7,37,21.62,48,33.33,21390,4174
10,25,10,20,1:2.00,21,0,false,Morning,false,79,25.32,0.62,-10885,873.75,-480.68,-5.88,12.29,2,9,37,21.62,42,28.57,16610,4018
10,25,10,20,1:2.00,21,0,false,FullDay,false,81,25.93,0.63,-10765,880.24,-487.5,-5.63,12.17,2,7,36,19.44,45,31.11,21390,4258
10,25,10,25,1:2.50,0,0,false,Morning,false,72,23.61,0.69,-8080,1057.06,-473.64,-4.06,11.4,3,9,35,22.86,37,24.32,16610,5254
10,25,10,25,1:2.50,0,0,false,FullDay,false,79,26.58,0.83,-4572.5,1094.52,-475.13,-1.99,9.42,4,8,35,20,44,31.82,21390,3967
10,25,10,25,1:2.50,21,0,false,Morning,false,71,23.94,0.7,-7577.5,1057.06,-473.1,-3.81,10.91,3,9,35,22.86,36,25,16610,3688
10,25,10,25,1:2.50,21,0,false,FullDay,false,78,25.64,0.79,-5820,1086.88,-475.13,-2.63,10.63,4,8,35,20,43,30.23,21390,4115
10,25,12,18,1:1.50,0,0,false,Morning,false,78,32.05,0.67,-9895,810.5,-569.01,-4.84,11.94,3,7,38,34.21,40,30,16610,3776
10,25,12,18,1:1.50,0,0,false,FullDay,false,82,32.93,0.7,-9317.5,817.41,-570.68,-4.36,12.18,3,7,38,31.58,44,34.09,21390,18606
10,25,12,18,1:1.50,21,0,false,Morning,false,77,32.47,0.69,-9292.5,810.5,-568.37,-4.55,11.34,3,7,38,34.21,39,30.77,16610,3918
10,25,12,18,1:1.50,21,0,false,FullDay,false,81,33.33,0.72,-8715,817.41,-570.09,-4.08,11.58,3,7,37,32.43,44,34.09,21390,4926
